"relative_path","category","source","html_slides","bytes","sha256"
"vector-slides\slide-01.svg","vector_slide","Converted from source presentation PDF","1","272046","80356D21D6209ED7DD26C42CD797422C2F5A13ED719628A02D79592EB541332C"
"vector-slides\slide-02.svg","vector_slide","Converted from source presentation PDF","2 background","380134","DD8003B06F6FDA35311870E9CE0DD1B7BE576983F8ADC033892E874EF2AA575D"
"vector-slides\slide-03.svg","vector_slide","Converted from source presentation PDF","3","122022","5C7821EF5C0CEB056929A6C954E62FAFF6A15A5861EC857029CC9247E9C1FF48"
"vector-slides\slide-04.svg","vector_slide","Converted from source presentation PDF","4","131874","73446E6FB74A4F5A3F728C08C903C4C02928F62B041822FC1821AD199A76DBCE"
"vector-slides\slide-05.svg","vector_slide","Converted from source presentation PDF","5 background","357355","18AE65A5B3490BDFE771338EFBAEC45FB8FCACE6C3D049AE1BB0B913C8B4DE6D"
"vector-slides\slide-06.svg","vector_slide","Converted from source presentation PDF","6 background","397315","BABFE05CF2179935777EBFD025080C39454E781F1B8FA9C67E054DD3708FAAE0"
"vector-slides\slide-07.svg","vector_slide","Converted from source presentation PDF","7","572159","573B8C983424BC4293320A97ABB5FDB9767AAB32DE9D0A0E69D5A44BCA151D9F"
"vector-slides\slide-08.svg","vector_slide","Converted from source presentation PDF","8","479589","DE27FBF03DB162128BA71193C055B85FFC499A94BE081020337DDE9E032190D7"
"vector-slides\slide-09.svg","vector_slide","Converted from source presentation PDF","9","346738","C333EB2FD5042A28640826D9CBEE3A6436C6A9D8B6F7AC06FC3B06227984A761"
"vector-slides\slide-10.svg","vector_slide","Converted from source presentation PDF","11","165528","36C906C385B735738ACEE01DA8C971F25F59B7295F99D4289E9906F374BC27AB"
"vector-slides\slide-11.svg","vector_slide","Converted from source presentation PDF","12","197734","9B0D4B10BFF80D6E9C1CAB08FDE564968684191D9BCA6C0EB3735D3FFA877151"
"vector-slides\slide-12.svg","vector_slide","Converted from source presentation PDF","13","274166","5AD05F03F504F505831A4B86A40A0767AFE8EA19631236C295A0CD8701C63D50"
"vector-slides\slide-13.svg","vector_slide","Converted from source presentation PDF","14","358166","85E11B8DFB53991C90300CA5B5A09958B3D6AC28832CB97B6BA77B3361783C52"
"02_project_links\injecteave_qr.png","project_link","Organized local material","1","825","8B6C73921965EB768C38E8E399B93311A3490C6D03325CED2708E72E8D351CD0"
"07_video\case_01_30m_demo_web.mp4","video","Browser-compatible derivative","2","12518887","A3F1FA4CCF06DCFDEF34E4C200A5D23924E4A1E6785CB25976782718CA9356F7"
"07_video\case_01_30m_demo_source_pcm.mp4","video_archive","Original local material","2 source archive","14230764","6B0D3DAE9427A6E3BA2DDE73B6671DC400585A00F1215A90B7DDD12239D24EEC"
"07_video\demo_lamp_web.mp4","video","Browser-compatible derivative","10","4074722","6E9A55A8677B922DFF1D2390510003BD6D974559AE72FB2421568FD2913B6C80"
"07_video\demo_fan_web.mp4","video","Browser-compatible derivative","10","21586646","1A0511F0D52B1220A52BAA484304658C579E036CD7E8BCE82847A6BA7E4C331A"
"07_video\demo_lamp_source_pcm.mp4","video_archive","Original local material","10 source archive","4961466","AC065E6E9BB77FA031CE2CA8EC58FEA124B69FB8A6D5C3076D2FE108303975BF"
"07_video\demo_fan_source_pcm.mp4","video_archive","Original local material","10 source archive","24456479","24828F15A5CB79D07F200176497195385F73646CCE75869FDD731C221DD708C2"
"07_video\demo_lamp_poster.jpg","video_poster","Derived from local material","10","171690","9622F10A0994DA93A7AB11744D1ADCAE40D2980095649475C294C37E0DC52F37"
"07_video\demo_fan_poster.jpg","video_poster","Derived from local material","10","186749","D518078D392D3D4C4C6C8A14D9A6016202ECB5C93C75249D0DA56E289E90C3CA"
"website\em-comparison.png","website_animation","InjectEave Website","5;6","66260","F2876519ED149391B3783D37494EB40B544ADCFE6AE50A089438768C8B13609E"
