"relative_path","category","source","html_slides","bytes","sha256"
"01_brand\hkust_gz_logo.png","01_brand","Original material folder","1;13","69960","391399A7EFF50161BF88503A7B406204EB1CC5443A66FEDF6F72460CE5184C20"
"01_brand\polyu_logo.svg","01_brand","Original material folder","1;13","29132","58E3C6F9C31B114880FB17CE7FEF7AC3F72049D599F643499862703C785835E4"
"01_brand\title_background_em_blue_red.png","01_brand","Original material folder","1","1157541","C5DE242810B69D6C2AD54342A71EBBF4BAD972FF650DEF0EDA5171482FFBF729"
"02_project_links\injecteave_qr.png","02_project_links","Original material folder","2;13","825","8B6C73921965EB768C38E8E399B93311A3490C6D03325CED2708E72E8D351CD0"
"03_concept\active_em_sidechannel_diagram.png","03_concept","Extracted from source PPT","5;6","183574","6D73FCA0E5CA3BF8849D39FF860EF859DAA9E0C2336E159A38121CA7DD35DD8B"
"03_concept\closed_loop_01_eavesdrop.svg","03_concept","Original material folder","9","715","0C7EE08571763F5126B7E200B62311A1DCD5EDCC17D7A48253A1361FB47EE037"
"03_concept\closed_loop_02_synthesize.svg","03_concept","Original material folder","9","826","7B0E0D8E9D3AA73A148B9D39C373942FB904C6F8139E314C1957CEF6C22441ED"
"03_concept\closed_loop_03_inject.svg","03_concept","Original material folder","9","678","B4482AA6D7A4252DEA83545DFBEE3F3B98DC52E25670294A72FACDD7E52CDA83"
"03_concept\range_scaling_formula.png","03_concept","Extracted from source PPT","10 reference","10459","1BAF57B94AE71E7768B6E44C6FF5EC50028BCAE00C43E042A668FD98DC824CDC"
"04_case_studies\case_01_30m_setup.png","04_case_studies","Extracted from source PPT","2","6128375","93422339AAB88A179877C32A501920E12EDF78EA0684CE978E80963BAB0DD1E3"
"04_case_studies\case_02_through_wall_scenarios.png","04_case_studies","Extracted from source PPT","8","1711071","DF156907D9A09A6107BFBF620AE37C265B3D80B97993CBD9233D91D9A104C519"
"04_case_studies\case_03_landline_closed_loop_setup.png","04_case_studies","Extracted from source PPT","9","812861","278B6E256E23A1B8A465F7B01C18761EE775CE500CD5663D654A39DB127F112F"
"04_case_studies\context_office_landline_call.jpg","04_case_studies","Original material folder","Reserve material","2980046","9BCF3A66447AC0529AB99A1F43456872EF6DCC416FBF72617A47AB7B0E72123E"
"04_case_studies\context_remote_meeting_headset.jpg","04_case_studies","Original material folder","Reserve material","3484602","7D43134FD74742E45426365D43ED8FDCDA2731CECD5D03E0E79F6AB2BF5D8C87"
"04_case_studies\context_smart_fan_sleep.jpg","04_case_studies","Original material folder","Reserve material","192197","5DCCED9352506CA63F64F83E70ADA92577DBB47C07E88574276C56E182CCBE63"
"04_case_studies\context_smart_lamp_reading.jpg","04_case_studies","Original material folder","Reserve material","2511522","DB721FE9F5CB06ADB285C007D0245EE43D4D72EE399E32CE3927256EFC9D1BDA"
"05_devices\cots_device_matrix.png","05_devices","Extracted from source PPT","7","391164","9923BC80B29EE202EFE894B7D22594835360168064D213D3C5CC72E0B219EB67"
"05_devices\cots_test_setup.png","05_devices","Extracted from source PPT","7","1241634","7F7DD931A37413A1247E1158DD82CCA9A92F3B635ADA59A625FF7CEB6C7FF340"
"05_devices\hardware_laptop.jpg","05_devices","Original material folder","12","237764","2E1977B62E8782A009F40301A400F6DA2E751D0B3FB6C9F5D2A7491EEFA99702"
"05_devices\hardware_medical_monitor.jpg","05_devices","Original material folder","12","449697","ED1F453DFEF4CE532FCE53A3C3AB8D8428BD8AA1B5E4C47EAA11C6810BD2DA21"
"05_devices\hardware_smartphones.jpg","05_devices","Original material folder","12","363456","E33D6ADE783388F266752A8E7DE6A11D7B9CFA475D742E8C9D5C07C755980856"
"05_devices\hardware_vehicle.jpg","05_devices","Original material folder","12","868306","9835C75F70F2C17E9136C6340E9F9376405070D07C1702851917384D0C7AFEA8"
"05_devices\smart_fan_product.png","05_devices","Original material folder","Reserve material","1739904","05A240EEFBB4332F96E79A15E9896E7052FE9C9810E225093FBED5C20E0FFF63"
"06_team\haoran_yan.jpg","06_team","Extracted from source PPT","13","126662","595B4C16076F67A56E3F8FF5A621C785F65B01752610613DC4159DFE2901357B"
"06_team\qinhong_jiang.png","06_team","Extracted from source PPT","13","20548","A714E3F698D1ADA91CC9B7F13F7F2C0117930964FCC93F101DFB578DC0BE6299"
"06_team\shuhao_zhang.jpg","06_team","Extracted from source PPT","13","684505","879F43A7E51CFC1797E15789BB07A966282EDB186E4421A080C5A4A750B3414F"
"06_team\yan_long.jpg","06_team","Extracted from source PPT","13","2490995","483F8CD324DC5361602572039877FB311D799C6D502AB83C832DD054F57D7FEB"
"06_team\ziyu_shao.png","06_team","Extracted from source PPT","13","422573","9E0C02F240560617CB733AA9035C5DE99CE8E03FF4171E5E752EBE949B320A7B"
"07_video\case_01_30m_demo_source_pcm.mp4","07_video","Original material folder","2 source archive","14230764","6B0D3DAE9427A6E3BA2DDE73B6671DC400585A00F1215A90B7DDD12239D24EEC"
"07_video\case_01_30m_demo_web.mp4","07_video","Derived from source PCM MP4 for browser compatibility","2","12518887","A3F1FA4CCF06DCFDEF34E4C200A5D23924E4A1E6785CB25976782718CA9356F7"
